Date,LLM_Buy,LLM_Sell,LLM_Hold,LLM_View,LSTM_Buy_Soft,LSTM_Sell_Soft,LSTM_Hold_Soft,LSTM_View_Soft,LSTM_Buy_Hard,LSTM_Sell_Hard,LSTM_Hold_Hard,LSTM_View_Hard,LSTM_Pred_Today,LSTM_Pred_Tomorrow,LSTM_Pct_Change,Ground_Truth,Next_Return,Actual_Price
2025-11-25,0.55,0.2,0.25,BUY,0.2771,0.4251,0.2978,SELL,0,0,1,HOLD,255.43,256.53,0.4278,HOLD,0.0020940411225383,276.9700012207031
2025-11-26,0.55,0.2,0.25,BUY,0.254,0.492,0.254,SELL,0,1,0,SELL,256.53,258.22,0.6611,HOLD,0.0046839069274851,277.54998779296875
2025-11-28,0.45,0.25,0.3,BUY,0.2367,0.5266,0.2367,SELL,0,1,0,SELL,258.22,260.29,0.7996,BUY,0.0152411687537217,278.8500061035156
2025-12-01,0.65,0.15,0.2,BUY,0.2188,0.5624,0.2188,SELL,0,1,0,SELL,260.29,262.74,0.9442,BUY,0.0109148578992286,283.1000061035156
2025-12-02,0.65,0.15,0.2,BUY,0.2048,0.5905,0.2048,SELL,0,1,0,SELL,262.74,265.53,1.0591,SELL,-0.0071281614574902,286.19000244140625
2025-12-03,0.55,0.15,0.3,BUY,0.2155,0.5691,0.2155,SELL,0,1,0,SELL,265.53,268.11,0.9712,SELL,-0.0121414103943635,284.1499938964844
2025-12-04,0.35,0.25,0.4,HOLD,0.254,0.4919,0.254,SELL,0,1,0,SELL,268.11,269.88,0.6608,SELL,-0.0068400902894092,280.70001220703125
2025-12-05,0.35,0.25,0.4,HOLD,0.2803,0.3598,0.3599,HOLD,0,0,1,HOLD,269.88,270.55,0.2499,HOLD,-0.0031924246171044,278.7799987792969
2025-12-08,0.45,0.25,0.3,BUY,0.3234,0.2792,0.3974,HOLD,0,0,1,HOLD,270.55,270.16,-0.147,HOLD,-0.0025550467279455,277.8900146484375
2025-12-09,0.35,0.25,0.4,HOLD,0.44,0.2755,0.2845,BUY,0,0,1,HOLD,270.16,268.89,-0.468,BUY,0.0057724444252624,277.17999267578125
2025-12-10,0.35,0.25,0.4,HOLD,0.4802,0.2599,0.2599,BUY,1,0,0,BUY,268.89,267.24,-0.6141,HOLD,-0.0026902934331158,278.7799987792969
